職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
國小教師,教育╱出版╱藝文相關,40000,44000,48000,52000,56000,學術研究_教育師資,國小教師
地質與地球科學研究人員,電子科技╱資訊╱軟體╱半導體,37000,40700,44400,48100,51800,學術研究_教育師資,地質與地球科學研究人員
地質與地球科學研究人員,礦業╱土石能源採取,42000,46200,50400,54600,58800,學術研究_教育師資,地質與地球科學研究人員
地質與地球科學研究人員,政治╱宗教╱社福,37300,41100,44800,48500,52300,學術研究_教育師資,地質與地球科學研究人員
地質與地球科學研究人員,法律╱會計╱顧問╱研發╱設計,42000,46200,50300,54500,58700,學術研究_教育師資,地質與地球科學研究人員
地質與地球科學研究人員,建築營造╱不動產相關,35900,39500,43100,46700,50300,學術研究_教育師資,地質與地球科學研究人員
地質與地球科學研究人員,教育╱出版╱藝文相關,36000,39600,43200,46800,50400,學術研究_教育師資,地質與地球科學研究人員
天文相關研究人員,法律╱會計╱顧問╱研發╱設計,34500,38000,41400,44900,48300,學術研究_教育師資,天文相關研究人員
學校行政人員,一般傳統製造,28000,30800,33600,36400,39200,學術研究_教育師資,學校行政人員
學校行政人員,政治╱宗教╱社福,35400,38900,42400,46000,49500,學術研究_教育師資,學校行政人員
學校行政人員,法律╱會計╱顧問╱研發╱設計,25300,27800,30300,32900,35400,學術研究_教育師資,學校行政人員
學校行政人員,運輸物流╱倉儲╱貿易,28000,30800,33600,36400,39200,學術研究_教育師資,學校行政人員
學校行政人員,建築營造╱不動產相關,24000,26400,28800,31200,33600,學術研究_教育師資,學校行政人員
學校行政人員,醫療照護╱環境衛生,48000,52800,57600,62400,67200,學術研究_教育師資,學校行政人員
學校行政人員,農林漁牧╱水電資源,32000,35200,38400,41600,44800,學術研究_教育師資,學校行政人員
學校行政人員,旅遊╱休閒╱運動,33300,36600,40000,43300,46600,學術研究_教育師資,學校行政人員
學校行政人員,餐飲╱住宿服務,35000,38500,42000,45500,49000,學術研究_教育師資,學校行政人員
學校行政人員,教育╱出版╱藝文相關,33600,37000,40300,43700,47000,學術研究_教育師資,學校行政人員
學校行政人員,批發╱零售,33000,36300,39600,42900,46200,學術研究_教育師資,學校行政人員
心理學研究人員,政治╱宗教╱社福,37800,41500,45300,49100,52900,學術研究_教育師資,心理學研究人員
心理學研究人員,法律╱會計╱顧問╱研發╱設計,33500,36900,40200,43600,46900,學術研究_教育師資,心理學研究人員
心理學研究人員,醫療照護╱環境衛生,34000,37400,40800,44200,47600,學術研究_教育師資,心理學研究人員
心理學研究人員,教育╱出版╱藝文相關,38000,41800,45600,49400,53200,學術研究_教育師資,心理學研究人員
應用科學研究人員,電子科技╱資訊╱軟體╱半導體,60000,66000,72000,78000,84000,學術研究_教育師資,應用科學研究人員
應用科學研究人員,一般傳統製造,61000,67100,73200,79300,85400,學術研究_教育師資,應用科學研究人員
應用科學研究人員,政治╱宗教╱社福,78000,85800,93600,101400,109200,學術研究_教育師資,應用科學研究人員
應用科學研究人員,法律╱會計╱顧問╱研發╱設計,38500,42400,46200,50100,53900,學術研究_教育師資,應用科學研究人員
